cellID,x,y,depth,depth2,logslope,tpi,distance2canyons,distance2canyons2,seafloortemperature,seafloorcurrents_mean,npp_mean,seafloorsalinity
1460920,-2078500,2456500,-4.6163764,0.893497467,0.841580808,-0.615345776,2.687886953,3.454392672,0.781401753,0.294948608,-0.483901858,0.838714898
1460921,-2076500,2456500,-4.861638069,1.373986959,0.574508727,-0.518537581,2.684454203,3.441002131,0.783129096,-0.002765634,-0.453434199,0.838941693
1460922,-2074500,2456500,-4.955889225,1.569759011,0.506148875,0.504724205,2.681027412,3.42765379,0.783128381,-0.300428331,-0.409879029,0.839281917
1460923,-2072500,2456500,-5.182906151,2.066662788,0.48375845,0.192610025,2.677606106,3.414348125,0.789435685,-0.426822662,-0.3576276,0.839009762
1460924,-2070500,2456500,-5.392659187,2.557632446,-0.625020504,-0.587954938,2.674190521,3.401084423,0.797845662,-0.496127903,-0.296675622,0.838510752
1460925,-2068500,2456500,-5.324735165,2.395292997,-0.328083873,-0.042434372,2.670781136,3.387864113,0.803824961,-0.533844888,-0.278270245,0.83862412
1460926,-2066500,2456500,-5.273795128,2.275650978,-0.42992425,0.436224908,2.66737771,3.374687195,0.808993995,-0.561032593,-0.269134551,0.838941693
1460927,-2064500,2456500,-5.472140312,2.751667976,0.56621182,-0.147192284,2.663980007,3.361552477,0.791362762,-0.488162637,-0.264064372,0.840257227
1462197,475500,2456500,-5.475929737,2.761027813,0.640853882,-0.051023569,-0.296758115,-0.571650624,1.079442382,2.697000504,0.127261087,0.783892691
1462198,477500,2456500,-5.335785389,2.421484947,0.524373472,0.024307996,-0.297357649,-0.570927262,1.107294083,3.063866615,0.120733514,0.784368992
1462199,479500,2456500,-5.221576214,2.154877901,0.356390536,0.007496561,-0.297905505,-0.57026571,1.121354103,2.656520367,0.095950864,0.789177597
1462200,481500,2456500,-5.126991272,1.940947771,0.146641776,0.022073632,-0.298401654,-0.569666147,1.130817056,1.991104722,-0.096655242,0.795437813
1462201,483500,2456500,-5.05685091,1.786322355,-0.236731842,0.066109039,-0.298845857,-0.56912899,1.128648639,1.720012784,-0.22525911,0.791808665
1462202,485500,2456500,-5.032423496,1.73327601,-0.995261669,0.131944865,-0.299238116,-0.568654358,1.12260294,1.580361128,-0.207845688,0.784868002
1462203,487500,2456500,-5.08567524,1.849452734,-0.057200555,0.155537844,-0.29957822,-0.568242669,1.096365094,1.776667237,-0.097461812,0.779016078
1462204,489500,2456500,-5.227970123,2.169563293,0.392183244,0.119731911,-0.299866199,-0.567893863,1.063396454,2.084958792,0.156906143,0.773527086
1462205,491500,2456500,-5.437801838,2.667299271,0.611881673,0.077078648,-0.300101906,-0.567608297,1.033698559,2.132439613,0.284360796,0.772256851
1464249,-2088500,2454500,-5.499379158,2.819175959,1.856615186,2.262987852,2.700594425,3.504139423,0.749615371,0.527528346,-0.560081005,0.838533401
1464250,-2086500,2454500,-4.882444382,1.416672468,1.674616337,0.958584011,2.697128534,3.490544081,0.766621709,0.710333705,-0.559786439,0.838215888
1464251,-2084500,2454500,-4.404932022,0.512836039,1.461418629,0.616381347,2.693668365,3.476991415,0.781654298,0.734228313,-0.539295256,0.837875664
1464252,-2082500,2454500,-4.087117672,-0.000837807,0.987701416,0.701031268,2.690214396,3.463483334,0.796028912,0.705152988,-0.527531147,0.837558091
1464253,-2080500,2454500,-4.05383873,-0.050563168,0.699492633,0.715104938,2.686765671,3.450016022,0.802227974,0.432287633,-0.518271744,0.837648809
1464254,-2078500,2454500,-4.387708187,0.483197093,0.993942738,-0.189535305,2.68332243,3.436591625,0.805701852,0.078159429,-0.489765018,0.837898314
1464255,-2076500,2454500,-4.736527443,1.123656988,0.780077934,-0.712565243,2.679885626,3.423211336,0.805472195,-0.19803609,-0.458967417,0.83807981
1464256,-2074500,2454500,-4.890998363,1.434309363,0.627540827,0.064969525,2.676454306,3.409873247,0.804008007,-0.448254108,-0.423498511,0.838261247
1464257,-2072500,2454500,-5.249204636,2.218540668,0.686900675,-0.9973737,2.673028946,3.396577597,0.8091712,-0.53746593,-0.369758219,0.838125169
1464258,-2070500,2454500,-5.428968906,2.645729303,-0.12070094,-1.31660378,2.669609308,3.383325338,0.816543519,-0.573009312,-0.318681687,0.837875664
1464259,-2068500,2454500,-5.27621603,2.281296253,-0.090863772,0.078654535,2.666195393,3.37011385,0.823221684,-0.556050777,-0.274798691,0.8375808
1464260,-2066500,2454500,-5.2281394,2.169952869,-0.048437256,0.639091372,2.662787676,3.356947184,0.829668522,-0.521591723,-0.266362816,0.837285936
1464261,-2064500,2454500,-5.479584694,2.7700665,0.736821592,-0.032388192,2.659385204,3.343821049,0.805920541,-0.403279901,-0.261997879,0.83910048
1465529,471500,2454500,-5.471774578,2.750764608,0.747073054,0.046453048,-0.301071823,-0.566432178,1.000785708,1.785271406,0.102309078,0.793328345
1465530,473500,2454500,-5.360927105,2.481393576,0.706018388,0.004983358,-0.301780522,-0.565571785,1.076822162,2.63929534,0.123559691,0.785639226
1465531,475500,2454500,-5.253918171,2.229455233,0.617977679,-0.015923802,-0.302437454,-0.5647735,1.108987927,2.865759134,0.141040251,0.786546469
1465532,477500,2454500,-5.155154705,2.003996849,0.491176099,0.00142057,-0.303042442,-0.564037621,1.12653017,2.883037329,0.137485519,0.790311694
1465533,479500,2454500,-5.077242374,1.830923319,0.321784019,-0.003765177,-0.303595364,-0.563364565,1.142103791,2.309079885,0.060062207,0.796299696
1465534,481500,2454500,-5.020590305,1.707727551,0.094518684,0.008460442,-0.304096043,-0.562754631,1.157021284,1.538045406,-0.195863858,0.803036213
1465535,483500,2454500,-4.992028713,1.646464109,-0.237848669,0.027882852,-0.304544389,-0.562208116,1.147790313,1.419008255,-0.32754007,0.798522532
1465536,485500,2454500,-5.003888607,1.67183423,-0.413303316,0.051335204,-0.304940194,-0.561725378,1.130509853,1.517302752,-0.31317392,0.790288985
1465537,487500,2454500,-5.070180893,1.815446019,-0.028832559,0.060228597,-0.305283487,-0.561306417,1.100958824,1.847117305,-0.120180398,0.782872021
1465538,489500,2454500,-5.194133759,2.09216857,0.281587124,0.047136873,-0.305574089,-0.560951591,1.067317724,2.254104853,0.192265257,0.775727212
1465539,491500,2454500,-5.361904144,2.483729601,0.452879399,0.020319702,-0.305812001,-0.560661077,1.036199212,2.233352184,0.285267472,0.77332294
1465540,493500,2454500,-5.545972824,2.935848236,0.520362139,-0.0116965,-0.305997074,-0.560434937,1.005921483,2.070020199,0.298216164,0.772483706
1467583,-2088500,2452500,-4.709880829,1.071746826,1.639146447,3.133027792,2.696054935,3.486337423,0.777620375,0.452167839,-0.547510326,0.837490082
1467584,-2086500,2452500,-4.104391098,0.025275897,1.306333184,2.37062192,2.69258523,3.472753286,0.792899907,0.504421413,-0.532220244,0.837127149
1467585,-2084500,2452500,-3.724585533,-0.501028657,0.834031463,2.663633585,2.68912077,3.459211111,0.804106534,0.430936635,-0.517672956,0.836832285
1467586,-2082500,2452500,-3.827708483,-0.36804986,0.229133531,0.889864087,2.685662031,3.445711136,0.813955545,0.315539449,-0.507333577,0.836560071
1467587,-2080500,2452500,-3.795495749,-0.410382926,0.329366595,1.398085833,2.682209015,3.432254553,0.819230258,0.071493968,-0.505737364,0.836469352
1467588,-2078500,2452500,-4.071372986,-0.024459794,0.919369698,0.56799072,2.678761721,3.418840408,0.822980165,-0.21543403,-0.497926295,0.836401343
1467589,-2076500,2452500,-4.531886578,0.737661779,1.032112002,-1.10479331,2.675320387,3.405470133,0.82299,-0.380409598,-0.466740072,0.83660543
1467590,-2074500,2452500,-4.758498669,1.16683054,0.991743743,-0.801401973,2.671885014,3.392142057,0.821753204,-0.504734576,-0.4320454,0.836877644
1467591,-2072500,2452500,-4.950603485,1.558615804,1.022332549,-0.320377678,2.668455124,3.378856659,0.823420167,-0.556616068,-0.391213268,0.837172508
1467592,-2070500,2452500,-5.279361248,2.288635492,0.761972666,-1.454689384,2.665030956,3.365613222,0.82605505,-0.584349751,-0.340809047,0.837467372
1467593,-2068500,2452500,-5.245816708,2.210705996,0.296411037,-0.583975077,2.661612749,3.352412224,0.826600611,-0.524674892,-0.293728501,0.837694168
1467594,-2066500,2452500,-5.151561737,1.995921969,0.177388474,0.540428758,2.658200502,3.339254141,0.826449811,-0.435863972,-0.259524643,0.837875664
1467595,-2064500,2452500,-5.37754631,2.521235228,0.779068768,0.032947291,2.654794216,3.326139688,0.799269736,-0.364151567,-0.255861342,0.839508772
1468857,459500,2452500,-5.553515911,2.954878807,0.474036872,0.3355923,-0.301360458,-0.566081882,0.727620423,0.002427749,-0.052260835,0.823722124
1468858,461500,2452500,-5.531589985,2.899672747,0.504019082,0.144324392,-0.302384913,-0.564837396,0.774676323,0.131609023,-0.034522004,0.81884551
1468859,463500,2452500,-5.524659634,2.882292509,0.567738533,0.006455429,-0.303358376,-0.563653111,0.809845805,0.292598248,0.002471419,0.814626694
1468860,465500,2452500,-5.50638628,2.836626053,0.618630767,-0.109249167,-0.304280609,-0.562529743,0.841053188,0.464190066,0.044949651,0.810589314
1468861,467500,2452500,-5.467031002,2.739062071,0.678296804,-0.319374561,-0.305151433,-0.561467588,0.906764388,0.915369928,0.085864335,0.803467214
1468862,469500,2452500,-5.342702866,2.437924623,0.724399805,-0.106967121,-0.305970609,-0.560467303,0.983976841,1.459745169,0.098692365,0.795301676
1468863,471500,2452500,-5.202240944,2.110639572,0.705866337,0.102609046,-0.30673793,-0.559529245,1.044352412,2.06957984,0.112048425,0.789880693
1468864,473500,2452500,-5.104726791,1.89149487,0.660859823,0.058291785,-0.307453156,-0.55865401,1.099115849,2.701234341,0.133437246,0.785367012
1468865,475500,2452500,-5.023817539,1.714685917,0.593289971,0.028487619,-0.308116138,-0.557841897,1.125656724,2.741834641,0.14980638,0.789132237
1468866,477500,2452500,-4.959455013,1.577286482,0.484131545,0.019009985,-0.308726728,-0.557093322,1.142790079,2.585418224,0.15306291,0.795664608
1468867,479500,2452500,-4.917733192,1.489759445,0.334255099,0.005257371,-0.309284776,-0.556408584,1.160221934,1.921167135,-0.001581097,0.801380455
1468868,481500,2452500,-4.898756027,1.450347781,0.147812828,0.004408773,-0.309790105,-0.55578804,1.17775321,1.087638736,-0.320920259,0.806846797
1468869,483500,2452500,-4.906064034,1.465495944,-0.044568975,0.011049088,-0.310242593,-0.555232108,1.162517309,1.125069976,-0.431081265,0.800904155
1468870,485500,2452500,-4.946094036,1.549124956,-0.094966829,0.019740891,-0.310642123,-0.554740846,1.136359096,1.452819228,-0.419766873,0.791173577
1468871,487500,2452500,-5.024878025,1.716974139,0.057593655,0.017154053,-0.310988575,-0.554314673,1.103536606,1.890637279,-0.118856981,0.78291738
1468872,489500,2452500,-5.13996172,1.969915509,0.234022215,0.013285263,-0.31128189,-0.553953707,1.06849277,2.365144491,0.251750737,0.775160134
1468873,491500,2452500,-5.28283453,2.296750069,0.349092185,-0.001489773,-0.311521977,-0.553658128,1.036662459,2.28557229,0.280920386,0.772642493
1468874,493500,2452500,-5.434714794,2.659754038,0.392987877,-0.012030266,-0.311708808,-0.553428054,1.005903482,2.021307945,0.279869169,0.771848619
1470917,-2088500,2450500,-4.629405975,0.917970896,1.628031492,2.156495094,2.691519499,3.468585253,0.804157972,0.31996724,-0.51285708,0.836401343
1470918,-2086500,2450500,-3.923242092,-0.238258645,1.088691354,1.846024632,2.688045025,3.455010176,0.816447794,0.210200831,-0.498066008,0.83606112
1470919,-2084500,2450500,-3.8796947,-0.298208982,0.109899774,-0.322626203,2.684576511,3.441478252,0.822964966,0.030928232,-0.486457974,0.835879624
1470920,-2082500,2450500,-3.851162672,-0.33677274,-0.178189829,-0.656259894,2.681113482,3.427989006,0.827557981,-0.171512842,-0.478405863,0.835766256
1470921,-2080500,2450500,-3.896880865,-0.274706602,-0.036766585,-0.608094037,2.677656174,3.414542198,0.832654059,-0.356054127,-0.47823894,0.835289896
1470922,-2078500,2450500,-3.859609365,-0.325415343,0.54135555,0.50729084,2.674204588,3.401138306,0.837917864,-0.534628808,-0.486830264,0.834700167
1470923,-2076500,2450500,-4.001461983,-0.127264202,0.975690186,0.743207395,2.670758724,3.38777709,0.838899493,-0.558484197,-0.468617529,0.834904313
1470924,-2074500,2450500,-4.268476963,0.283682883,1.084115148,0.387108773,2.667318344,3.374457836,0.83845365,-0.530766726,-0.422826231,0.835380614
1470925,-2072500,2450500,-4.516206741,0.709286869,1.097558737,0.647942483,2.663884401,3.36118269,0.835840344,-0.545268536,-0.392504036,0.836197197
1470926,-2070500,2450500,-4.857803822,1.366152644,0.938246489,-0.064718239,2.660455942,3.347949743,0.83250457,-0.5738433,-0.359620869,0.837149799
1470927,-2068500,2450500,-5.016963482,1.69991672,0.442164898,-0.02766899,2.657033205,3.334758759,0.824640393,-0.475438446,-0.313100427,0.838170528
1470928,-2066500,2450500,-5.061328888,1.796092153,0.260681152,0.323471695,2.653616667,3.321610928,0.815266788,-0.33470729,-0.269909978,0.839213908
1470929,-2064500,2450500,-5.186817169,2.075536966,0.634509027,0.274628371,2.650205851,3.308505535,0.785549402,-0.340274692,-0.245650828,0.840461373
